5.949900000000000000e+04,5.987500000000000000e+04
1.476580000000000000e+05,1.478350000000000000e+05
5.122200000000000000e+04,5.139400000000000000e+04
1.066720000000000000e+05,1.068220000000000000e+05
1.290190000000000000e+05,1.291530000000000000e+05
1.201090000000000000e+05,1.203380000000000000e+05
1.197880000000000000e+05,1.198880000000000000e+05
1.598800000000000000e+04,1.618100000000000000e+04
6.021900000000000000e+04,6.050500000000000000e+04
5.052600000000000000e+04,5.063900000000000000e+04
